Year ,Province ,Division ,District,Usage (in 1000 nutirient tons),Area Sown Total (Wheat),Area Sown (Rice),Area Sown (Cotton),Area Sown (Sugarcane),Wheat Production ,Rice Production ,Cotton Production ,Sugarcane Production,Output/acre wheat,Output/Acre (Rice),Output/Acre (Cotton),Output/Acre (Sugarcane)
2008-09,Punjab,Faisalabad Divn.            ,T.T. Singh,112,163,35,44,38,490,60,165,1881,3.006134969,1.714285714,3.75,49.5
2008-09,Punjab,Gujranwala Divn.     ,Gujranwala,120,236,249,0,2,755,495,0,92,3.199152542,1.987951807,0,46
2008-09,Punjab,Gujranwala Divn.     ,Gujrat,50,158,59,0,2,294,109,0,95,1.860759494,1.847457627,0,47.5
2008-09,Punjab,Gujranwala Divn.     ,Hafizabad,40,161,130,0,6,465,246,0,231,2.888198758,1.892307692,0,38.5
2008-09,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,42,132,96,2,30,357,163,3,1232,2.704545455,1.697916667,1.5,41.06666667
2008-09,Punjab,Gujranwala Divn.     ,Narowal,50,159,103,0,2,311,143,0,62,1.955974843,1.388349515,0,31
2008-09,Punjab,Gujranwala Divn.     ,Sialkot,54,211,191,0,2,544,341,0,48,2.578199052,1.785340314,0,24
2008-09,Punjab,Lahore Divn.                                        ,Lahore,48,62,44,0,0.4,156,83,0,18,2.516129032,1.886363636,0,45
2008-09,Punjab,Lahore Divn.                                        ,Kasur                                                        ,86,194,90,13,39,577,180,33,1720,2.974226804,2,2.538461538,44.1025641
2008-09,Punjab,Lahore Divn.                                        ,Nankana Sahib,10,166,115,0.2,19,494,211,0.5,863,2.975903614,1.834782609,2.5,45.42105263
2008-09,Punjab,Lahore Divn.                                        ,Sheikhupura,90,186,185,0,1.7,496,310,0,73,2.666666667,1.675675676,0,42.94117647
2008-09,Punjab,Multan Divn.                                      ,Multan,176,200,17,169,3,589,27,671,121,2.945,1.588235294,3.970414201,40.33333333
2008-09,Punjab,Multan Divn.                                      ,Khanewal,106,229,30,167,9,714,58,754,423,3.11790393,1.933333333,4.51497006,47
2008-09,Punjab,Multan Divn.                                      ,Lodhran                                                    ,102,187,5,197,2,600,8,636,93,3.20855615,1.6,3.228426396,46.5
