District,Mean_NDVI,Year
Narowal,0.5079442431093532,2013
Narowal,0.46810521245802345,2014
Narowal,0.4667990131023194,2015
Okara,0.4692426269512749,2002
Okara,0.47631904414237325,2003
Okara,0.49799422066715426,2004
Okara,0.4503889850911925,2005
Okara,0.5004350677344815,2006
Okara,0.4564667160630908,2007
Okara,0.4830113641455515,2008
Okara,0.4901729633620502,2009
Okara,0.48700106111246805,2010
Okara,0.45641349530994846,2011
Okara,0.4908056161633775,2012
Okara,0.4917437476161139,2013
Okara,0.49388340868269126,2014
Okara,0.5048133922906708,2015
Pakpattan,0.4672448525767142,2002
Pakpattan,0.47077010481228854,2003
Pakpattan,0.49822963937395415,2004
Pakpattan,0.4514566837835432,2005
Pakpattan,0.4809244273005922,2006
Pakpattan,0.4478845684013645,2007
Pakpattan,0.47318034335787723,2008
Pakpattan,0.4752278089587592,2009
Pakpattan,0.4771772915048199,2010
Pakpattan,0.44711867156494345,2011
Pakpattan,0.48921060656021464,2012
Pakpattan,0.4882901424940459,2013
Pakpattan,0.4785812840191342,2014
Pakpattan,0.500235621865131,2015
Rahim Yar Khan,0.256619070427188,2002
Rahim Yar Khan,0.2840270343730015,2003
Rahim Yar Khan,0.2889723963700353,2004
Rahim Yar Khan,0.2716593306613528,2005
Rahim Yar Khan,0.3006796661045354,2006
Rahim Yar Khan,0.2656145448629577,2007
Rahim Yar Khan,0.29437235620719154,2008
Rahim Yar Khan,0.2661054281868872,2009
Rahim Yar Khan,0.31157017802492776,2010
Rahim Yar Khan,0.30042660945395844,2011
Rahim Yar Khan,0.31793826140945414,2012
Rahim Yar Khan,0.30799371757591587,2013
Rahim Yar Khan,0.2920587595709492,2014
Rahim Yar Khan,0.3219612620339411,2015
Rajanpur,0.183322405684173,2002
Rajanpur,0.19611045740741823,2003
Rajanpur,0.20223577163588957,2004
Rajanpur,0.19205627680437254,2005
Rajanpur,0.22055676022996198,2006
Rajanpur,0.20319488950657805,2007
Rajanpur,0.22278093035255142,2008
Rajanpur,0.20117588160969718,2009
Rajanpur,0.22521478051032665,2010
Rajanpur,0.22244597728814797,2011
Rajanpur,0.2476939391235575,2012
Rajanpur,0.22862779320078436,2013
Rajanpur,0.21789094691455513,2014
Rajanpur,0.2418856453882505,2015
Rawalpindi,0.34006353128713235,2002
Rawalpindi,0.398483240356175,2003
Rawalpindi,0.3931533269941257,2004
Rawalpindi,0.3371595531534853,2005
Rawalpindi,0.4227251070473689,2006
Rawalpindi,0.3495125581989905,2007
Rawalpindi,0.3883869983288608,2008
Rawalpindi,0.2924458823637256,2009
Rawalpindi,0.37395148456293775,2010
Rawalpindi,0.3381772182181734,2011
Rawalpindi,0.3825765073696644,2012
Rawalpindi,0.3964849080945294,2013
Rawalpindi,0.4065196413430749,2014
Rawalpindi,0.4485899780803232,2015
Sahiwal,0.47066203546887836,2002
Sahiwal,0.4715722199240695,2003
Sahiwal,0.48745761365640866,2004
Sahiwal,0.44556696636714066,2005
Sahiwal,0.48945514701896126,2006
Sahiwal,0.4486499428654095,2007
Sahiwal,0.4684702283646412,2008
Sahiwal,0.47109730389836074,2009
Sahiwal,0.4653798012812036,2010
Sahiwal,0.44935016557195306,2011
Sahiwal,0.49771520923514945,2012
Sahiwal,0.48630808415296894,2013
Sahiwal,0.48662187340364915,2014
Sahiwal,0.5037527702257977,2015
Sargodha,0.47232015148230055,2002
Sargodha,0.4731429633756246,2003
Sargodha,0.4852300952133881,2004
Sargodha,0.44842805552826615,2005
Sargodha,0.4989184437934,2006
Sargodha,0.4498865647990442,2007
Sargodha,0.4727682604364651,2008
Sargodha,0.444152357125041,2009
Sargodha,0.46583494956659316,2010
Sargodha,0.44681835266372444,2011
Sargodha,0.49983155505044863,2012
Sargodha,0.4946444786366433,2013
Sargodha,0.4921668192124247,2014
Sargodha,0.5055013987698646,2015
Sheikhupura,0.3996227041461709,2002
Sheikhupura,0.4609507573483678,2003
Sheikhupura,0.49183496282065187,2004
Sheikhupura,0.4387336048640222,2005
Sheikhupura,0.49987849653135324,2006
Sheikhupura,0.4507337560119783,2007
Sheikhupura,0.48464351715323445,2008
Sheikhupura,0.4472150439421386,2009
Sheikhupura,0.4832210565433335,2010
Sheikhupura,0.46056013624455355,2011
Sheikhupura,0.5069526082223418,2012
Sheikhupura,0.5113662433479558,2013
Sheikhupura,0.48755963681707354,2014
Sheikhupura,0.5053525532694015,2015
Sialkot,0.4162078059343438,2002
Sialkot,0.4925225049624046,2003
Sialkot,0.5057412030984477,2004
Sialkot,0.44637538019955936,2005
Sialkot,0.5283072646983051,2006
Sialkot,0.46066585347711025,2007
Sialkot,0.5158363938499045,2008
Sialkot,0.4262163297100731,2009
Sialkot,0.49008670567184326,2010
Sialkot,0.4523325045657515,2011
Sialkot,0.5086706109459924,2012
Sialkot,0.517649775811323,2013
Sialkot,0.48118269651599394,2014
Sialkot,0.4916135114730041,2015
Toba Tek Singh,0.45348534000404345,2002
Toba Tek Singh,0.4396773694043189,2003
Toba Tek Singh,0.46858170497285856,2004
Toba Tek Singh,0.4300100930895228,2005
Toba Tek Singh,0.4852095651671202,2006
Toba Tek Singh,0.44271602991741865,2007
Toba Tek Singh,0.4611305064883306,2008
Toba Tek Singh,0.44718221361132793,2009
Toba Tek Singh,0.46255415659820426,2010
Toba Tek Singh,0.4382278778349026,2011
Toba Tek Singh,0.49877302848022925,2012
Toba Tek Singh,0.48080178902031456,2013
Toba Tek Singh,0.48216555319445104,2014
Toba Tek Singh,0.4961413226362295,2015
Vehari,0.4579630661039157,2002
Vehari,0.4500687486465179,2003
Vehari,0.48129388814099294,2004
Vehari,0.45168466054582707,2005
Vehari,0.4814439355200904,2006
Vehari,0.44117382723032267,2007
Vehari,0.47249002638217336,2008
Vehari,0.4685248562496493,2009
Vehari,0.46790735555943963,2010
Vehari,0.4449633870452086,2011
Vehari,0.49818191691437497,2012
Vehari,0.4929033009501456,2013
Vehari,0.4856316979750514,2014
Vehari,0.497557791129649,2015
